Company_Name,Status
ABB India Limited,Need to download report
AP Mineral Development Corporation,Need to download report
APL Apollo Tubes,Need to download report
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Need to download report
Adhunik Metaliks,Need to download report
"Aditya Birla Fashion (Allen Solly, Peter England)",Need to download report
Air Asia India,Need to download report
Air India,Need to download report
Airports Authority of India (AAI),Need to download report
Akasa Air,Need to download report
Alliance Air,Need to download report
Amara Raja Energy & Mobility Limited,Need to download report
Amul (GCMMF),Need to download report
Andhra Pradesh Paper Mills,Need to download report
Angel One Limited,Need to download report
Archean Chemical Industries Limited,Need to download report
Authum Investment & Infrastructure Limited,Need to download report
Bajaj Holdings & Investment Limited,Need to download report
Ballarpur Industries (BILT),Need to download report
Bangalore International Airport Ltd (BIAL),Need to download report
Bank of Baroda,Need to download report
Bharat Heavy Electricals Limited (BHEL),Need to download report
Bhushan Steel,Need to download report
Bikaji Foods,Need to download report
Bombay Dyeing,Need to download report
Britannia Industries,Need to download report
Burnpur Cement,Need to download report
C.E. INFO SYSTEMS LIMITED,Need to download report
CCL Products (India) Limited,Need to download report
CIE AUTOMOTIVE INDIA LIMITED,Need to download report
Castrol India Limited,Need to download report
Cement Corporation of India,Need to download report
Century Plyboards (India) Limited,Need to download report
Century Pulp and Paper,Need to download report
Coca-Cola India,Need to download report
Cochin International Airport,Need to download report
Crisil Limited,Need to download report
DIVI'S LABORATORIES LIMITED,Need to download report
Dabur India,Need to download report
Damodar Valley Corporation,Need to download report
Data Patterns (India) Limited,Need to download report
Delhi International Airport Ltd (DIAL),Need to download report
Dixon Technologies (India) Limited,Need to download report
Dr. Reddy's Laboratories Limited,Need to download report
Electrosteel Castings,Need to download report
Electrosteel Castings Limited,Need to download report
Electrosteel Steels,Need to download report
Emami Paper Mills,Need to download report
Essar Steel India,Need to download report
GAIL (India) Limited,Need to download report
GMDC (Gujarat Mineral Development Corporation),Need to download report
"GMR Airports (Delhi, Hyderabad)",Need to download report
GVK Mumbai Airport,Need to download report
Garden Reach Shipbuilders & Engineers Limited,Need to download report
Go First (GoAir),Need to download report
Gujarat State Electricity Corporation,Need to download report
Haldiram,Need to download report
Hatsun Agro Products,Need to download report
Havells India Limited,Need to download report
Heritage Foods,Need to download report
Himadri Speciality Chemical Limited,Need to download report
Hindustan Copper,Need to download report
Hindustan Paper Corporation,Need to download report
INDIAMART INTERMESH LIMITED,Need to download report
ITC Limited (Paperboards Division),Need to download report
IndiGo (InterGlobe Aviation),Need to download report
Indian Bank,Need to download report
Ion Exchange (India) Limited,Need to download report
JINDAL STEEL & POWER LIMITED,Need to download report
JK Lakshmi Cement,Need to download report
JK Paper,Need to download report
JK Tyre & Industries Limited,Need to download report
JSW Energy,Need to download report
Jindal Saw Limited,Need to download report
K.P.R. MILL LIMITED,Need to download report
KIOCL (Kudremukh Iron Ore Company),Need to download report
KPR Mill,Need to download report
Kalyani Steels,Need to download report
Karnataka State Mineral Corporation,Need to download report
Kesoram Industries (Cement Division),Need to download report
Kwality,Need to download report
L&T Technology Services Limited,Need to download report
LT Finance Limited,Need to download report
LT Technology Services Limited,Need to download report
Larsen  Toubro Limited,Need to download report
Larsen & Toubro Limited,Need to download report
MOIL (Manganese Ore India),Need to download report
Mahindra & Mahindra Financial Services Limited,Need to download report
Mahindra & Mahindra Limited,Need to download report
Mahindra Holidays & Resorts India Limited,Need to download report
Mangalam Cement,Need to download report
Marico,Need to download report
Minda Corporation Limited,Need to download report
Monnet Ispat,Need to download report
Mother Dairy,Need to download report
Mrs. Bectors Food Specialities,Need to download report
Mukand,Need to download report
NBCC (India) Limited,Need to download report
NMDC (National Mineral Development Corporation),Need to download report
Narayana Hrudayalaya Ltd.,Need to download report
Nestle India,Need to download report
Neyveli Lignite Corporation,Need to download report
Nuvoco Vistas Corp (Nirma Cement),Need to download report
Odisha Mining Corporation,Need to download report
Parle Products,Need to download report
Prism Johnson (Cement),Need to download report
Procter & Gamble Health Limited,Need to download report
Punjab & Sind Bank,Need to download report
Rama Paper Mills,Need to download report
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Need to download report
Ratnamani Metals & Tubes Limited,Need to download report
Raymond,Need to download report
S Kumars Nationwide,Need to download report
SARDA ENERGY & MINERALS LIMITED,Need to download report
Safari Industries (India) Limited,Need to download report
Sandur Manganese & Iron Ores Limited,Need to download report
Sanghi Industries,Need to download report
Sanofi India Limited,Need to download report
Schaeffler India Limited,Need to download report
Seshasayee Paper and Boards,Need to download report
Shreyans Industries (Paper),Need to download report
Signatureglobal (India) Limited,Need to download report
Siyaram Silk Mills,Need to download report
SpiceJet,Need to download report
Sunflag Iron and Steel,Need to download report
Tamil Nadu Newsprint and Papers (TNPL),Need to download report
Tata Power,Need to download report
Tata Teleservices (Maharashtra) Limited,Need to download report
Tayo Rolls,Need to download report
Techno Electric & Engineering Company Limited,Need to download report
Thomas Cook  (India)  Limited,Need to download report
Torrent Power,Need to download report
Trident Limited,Need to download report
Triveni Engineering & Industries Limited,Need to download report
UCO BANK,Need to download report
Uttam Galva Steels,Need to download report
Vardhman Textiles,Need to download report
Varun Beverages (PepsiCo franchise),Need to download report
Varun Beverages Limited,Need to download report
"Vedanta Resources (Zinc, Copper, Iron)",Need to download report
Vesuvius India Limited,Need to download report
Vistara (TATA SIA Airlines),Need to download report
Welspun India,Need to download report
West Coast Paper Mills,Need to download report
Westlife Foodworld Limited,Need to download report
